"FrP" "Skepsis" "Utjevn" "Inntekt" "Utdanning" "Kvinne"
"772" 0 4.66666666666667 2 2 19 1
"775" 0 3.66666666666667 2 8 15 0
"777" 1 6 4 2 16 1
"778" 0 6 2 4 11 0
"784" 0 7 2 4 12 1
"785" 0 5.66666666666667 2 3 11 1
"787" 0 2.66666666666667 3 10 14 0
"793" 1 7.66666666666667 1 3 14 0
"795" 0 3.66666666666667 2 4 8 0
"797" 1 7.66666666666667 3 7 16 0
"799" 1 6 3 1 7 0
"800" 0 6.33333333333333 4 8 17 0
"803" 0 2.66666666666667 4 10 17 0
"805" 0 4 5 7 15 0
"807" 0 6 3 5 9 1
"809" 1 5.66666666666667 2 2 12 1
"811" 1 8.66666666666667 4 6 9 0
"812" 0 2 3 10 16 1
"813" 0 4.66666666666667 4 8 17 1
"814" 0 5.33333333333333 4 10 12 0
"815" 1 6.33333333333333 4 8 17 0
"817" 1 5.66666666666667 4 7 13 1
"820" 0 4.33333333333333 1 5 20 1
"827" 0 3.33333333333333 2 2 16 0
"829" 0 5 3 10 16 1
"832" 0 5 4 10 3 0
"833" 0 4 4 10 14 0
"835" 0 2.66666666666667 3 7 15 1
"838" 0 3.66666666666667 2 8 14 0
"840" 1 6.66666666666667 5 10 17 0
"843" 1 6 4 10 17 0
"844" 1 2.66666666666667 2 4 7 0
"847" 0 5 2 9 15 1
"853" 0 5 3 10 18 1
"859" 1 3 3 NA 11 1
"861" 1 6 2 3 10 0
"864" 0 3.33333333333333 3 3 14 0
"866" 1 2.66666666666667 4 9 14 0
"872" 0 8 4 7 12 0
"873" 0 2.66666666666667 4 5 14 1
"879" 0 1.66666666666667 3 3 12 0
"884" 0 2.66666666666667 2 10 17 0
"885" 0 2 2 9 14 0
"887" 1 8.33333333333333 3 1 18 0
"892" 0 5.66666666666667 4 7 16 1
"893" 0 4 3 5 11 0
"894" 0 4.33333333333333 2 9 13 0
"895" 0 5.33333333333333 2 9 17 0
"896" 0 8.33333333333333 3 NA 16 1
"899" 0 2.66666666666667 3 10 11 0
"906" 0 6.66666666666667 1 7 13 0
"907" 1 5.66666666666667 3 4 9 0
"908" 1 8.33333333333333 2 8 12 1
"912" 1 5 2 6 18 0
"913" 0 4 4 3 12 0
"915" 0 4 3 6 11 0
"916" 1 5.33333333333333 2 8 7 1
"924" 0 4.66666666666667 4 10 20 1
"925" 0 1 3 10 23 0
"926" 1 5.66666666666667 4 7 12 0
"929" 0 3.66666666666667 4 8 24 0
"934" 0 2.5 2 10 21 0
"939" 1 5 1 NA 14 1
"940" 0 3.33333333333333 3 8 18 1
"941" 0 4.66666666666667 2 8 18 0
"942" 0 5 3 9 23 0
